Mixture no.,W/CMa,Cement(kg/m3),"Water 
(KG/M3)","Fly ash  
kg/m3","Fine aggregate
 (kg/m3) ","Coarse aggregate
 (kg/m3)","Superplasticizer 
(kg/m3)",Silica Fume,Age in days,Comp strength (MPa) 
S3-0-0,0.5,410,205,0,609,1132,0,0,180,60.6
S3-15-0,0.5,335,205,75,589,1132,0,0,3,23.3
S3-15-0,0.5,335,205,75,589,1132,0,0,7,32.3
S3-15-0,0.5,335,205,75,589,1132,0,0,28,48.9
S3-15-0,0.5,335,205,75,589,1132,0,0,56,55.7
S3-15-0,0.5,335,205,75,589,1132,0,0,90,62.6
S3-15-0,0.5,335,205,75,589,1132,0,0,180,64.8
S3-25-0,0.5,285,205,125,576,1132,0,0,3,18.4
S3-25-0,0.5,285,205,125,576,1132,0,0,7,26.2
S3-25-0,0.5,285,205,125,576,1132,0,0,28,41.7
S3-25-0,0.5,285,205,125,576,1132,0,0,56,49.1
S3-25-0,0.5,285,205,125,576,1132,0,0,90,53.7
S3-25-0,0.5,285,205,125,576,1132,0,0,180,57.9
S3-45-0,0.5,185,205,225,549,1132,0,0,3,13.4
S3-45-0,0.5,185,205,225,549,1132,0,0,7,18.4
S3-45-0,0.5,185,205,225,549,1132,0,0,28,35.6
S3-45-0,0.5,185,205,225,549,1132,0,0,56,47
S3-45-0,0.5,185,205,225,549,1132,0,0,90,54.1
S3-45-0,0.5,185,205,225,549,1132,0,0,180,56.6
S3-55-0,0.5,135,205,275,536,1132,0,0,3,7.8
S3-55-0,0.5,135,205,275,536,1132,0,0,7,11.3
S3-55-0,0.5,135,205,275,536,1132,0,0,28,24
S3-55-0,0.5,135,205,275,536,1132,0,0,56,33.7
S3-55-0,0.5,135,205,275,536,1132,0,0,90,41.4
S3-55-0,0.5,135,205,275,536,1132,0,0,180,48.3
S3-0-5,0.5,410,205,0,605,1132,0,5,3,27.4
S3-0-5,0.5,410,205,0,605,1132,0,5,7,39.2
S3-0-5,0.5,410,205,0,605,1132,0,5,28,57.3
S3-0-5,0.5,410,205,0,605,1132,0,5,56,59.6
S3-0-5,0.5,410,205,0,605,1132,0,5,90,67.3
S3-0-5,0.5,410,205,0,605,1132,0,5,180,66.3
S3-20-5,0.5,310,205,100,578,1132,0,5,3,20.1
S3-20-5,0.5,310,205,100,578,1132,0,5,7,30.6
